sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric										
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric										
C288D3LM_PBS	212164	182185	85.87	180993	176062	82.98										
C302D1LM	229392	194071	84.6	192252	191678	83.56										
C302D1LM_PBS	428080	366818	85.69	363440	344546	80.49										
C302D3LM	256295	216127	84.33	214274	213925	83.47										
C302D3LM_PBS	262916	234631	89.24	232030	218828	83.23										
C321D1LM	218650	178419	81.6	177252	174095	79.62										
C321D1LM_PBS	127437	112476	88.26	111494	108132	84.85										
C321D3LM	207965	176343	84.79	173368	170247	81.86										
C321D3LM_PBS	2250750	2035857	90.45	2027343	1880904	83.57										
C403D1LM	242007	205061	84.73	203346	201026	83.07										
C403D1LM_PBS	259240	228654	88.2	226371	209368	80.76										
C403D3LM	187476	160592	85.66	159712	158247	84.41										
C403D3LM_PBS	293662	260217	88.61	259022	252223	85.89										
C466D1LM	69249	35081	50.66	34723	34602	49.97										
C466D1LM_PBS	144291	124336	86.17	123338	121267	84.04										
C466D3LM	175699	144722	82.37	143427	142444	81.07										
C466D3LM_PBS	106869	94925	88.82	94115	92572	86.62										
C487D1LM	86354	72673	84.16	71637	71072	82.3										
C487D1LM_PBS	166168	144217	86.79	143162	141440	85.12										
C487D3LM	61803	51566	83.44	50452	50137	81.12										
